start	end	text
0	7000	Trebo do CI Episódio 2
7000	10000	Para o dia 12 do 6 de 2010
10000	12000	Meu nome é Sheldon Led
12000	14000	E apesar de eu adorar programar para desktop
14000	16000	Eu adoro usar ferramentas leds
16000	18000	Eu sou o Sebastião Relce
18000	20000	Se Deus usou padrões de projetos na criação
20000	22000	A atenção é se comprou
30000	32000	A gente sabe que o podcast do Jovem Led
32000	34000	Provisão programador
34000	36000	Eu conheci um podcast que me deixou com ódio mortal do cara
36000	38000	É, qual?
38000	40000	Do Guanabara.info
40000	42000	Você ouviu esse ouvi?
42000	44000	Já, já ouvi
44000	46000	Já ouvi
46000	48000	Eu sou o Sebastião Relce
48000	50000	Se Deus usou padrões de projetos na criação
50000	52000	A gente sabe que o podcast do Jovem Led
52000	54000	Se Deus usou padrões de projetos na criação
54000	56000	A gente sabe que o podcast do Jovem Led
56000	58000	Se Deus usou padrões de projetos na criação
58000	60000	Você ouviu esse ouviu?
60000	62000	Já, já ouvi
62000	64000	É, tipo assim, o cara usa os dois satriãs
64000	66000	Na trilha sonora
66000	68000	Que era uma coisa que eu queria usar também, agora que foi
68000	70000	Ele já falou sobre Flash no primeiro episódio
70000	72000	É canagem com a gente
72000	74000	Tá bom que ele já tá no mar de 90 episódios
74000	76000	É, já que você tocou na assunta de podcast
76000	78000	Então a gente poderia falar sobre os podcast
78000	80000	Que já morreu
80000	82000	Eu comecei na sua parada de podcast
82000	84000	Pesquisando a respeito de podcast
84000	86000	O que eu achei muito legal
86000	88000	É, o Vigo Leandro que eu conhecia
88000	90000	É, tipo assim, os caras falavam sobre a parada máxima
90000	92000	O que eu achei muito legal
92000	94000	Era bem voltado ao software livre
94000	96000	Tipo, se eu mandei um e-mail depois pra ele
96000	98000	Se ele ia continuar e tal
98000	100000	Porque ele grava umas 16h de trabalho
100000	102000	Perdição e tal
102000	104000	É, mais ou menos igual a gente
104000	106000	Aí, depois, esse Geek BR
106000	108000	Ele virou o Café 2.0
108000	110000	Que era com Axel Rudin
110000	112000	O podcast que a gente falou no episódio anterior
112000	114000	Que ele tinha morrido e parece que eles escutaram
114000	116000	E falou assim, não, agora a gente vai
116000	118000	Aí saiu o episódio 111
118000	120000	O Redor
120000	122000	O Return of the King
122000	124000	Cara, o Pop-Tec pra mim era
124000	126000	Minha referência
126000	128000	Às vezes eu tenho crise de identidade
128000	130000	O que eu tinha pra dizer
130000	132000	O Geek BR, cara, era o melhor que tinha pra mim
132000	134000	Não existe nada melhor do que o Geek BR
134000	136000	Eu vi o Pop-Tec
136000	138000	Não existe nada melhor do que o Pop-Tec
138000	140000	Aí veio o ElaSport, mas o ElaSport não tem nada a ver
140000	142000	É o ElaSport e umas meninas
142000	144000	O Pop-Tec mais esperamos
144000	146000	Quando o ElaSport, na época
146000	148000	Ela já falava de Basecamp, Prototype
148000	150000	Que sabe que é Basecamp
150000	152000	Não
152000	154000	Não sabe que é Basecamp
154000	156000	É, eu sei, mas eu não quero falar, não
156000	158000	Por que? Eu falei isso
158000	160000	Ah, não
160000	162000	Faz uma pergunta mais difícil, você é fácil
