start	end	text
0	3600	Você está ouvindo a tribo do CRI Podcast.
16700	20800	Tribus do CRI Episódio 3 para o dia 30 do CRI de 2010.
20800	22900	Ecosistema da produção de software.
22900	28100	Eu sou o Sebastião Hellsum e minha chefe me chamou de arquiteto e eu acho que ela estava zoando comigo.
28100	32600	Meu nome é Sheldon Led e por favor não me prenda porque eu não pertenço a gangue dos quatro.
41100	47700	Nesse podcast vamos falar da parte mais polêmica de um desenvolvimento de software, a engenharia de software.
47700	49200	Então vamos para os e-mail.
52400	55000	A gente recebeu o e-mail com algumas sugestões.
55000	59900	Então o e-mail que a gente recebeu aqui, o primeiro foi do Joe Elias Jr., conhece o Joe Elias Jr.?
59900	61700	E esse aqui é o cara lá do Fissol, né?
61700	64600	Então o Joe Elias mandou um monte de dica maneiro para a gente aqui.
64600	68900	Resumão, a gente podia encurtar mais um pouco, podcast, deixar mais um pouco mais direto.
68900	71400	Sim, para consolo, escutem o papo até.
71400	74100	Acho que isso é assunto até para o próximo episódio, vamos?
74100	76100	É o formato da nova mídia, né, do podcast.
76100	78000	É isso aí. A gente recebeu o outro e-mail também.
78000	82200	O outro e-mail foi da Carla Larissa VB, ela falou que era VB?
83100	83900	Quase.
84000	84800	Vera Borges.
84800	87000	Ela reclamou também basicamente a mesma coisa.
87000	88500	A voz saia um pouco baixa.
88500	91800	Às vezes as musiquinhas do fundo até atrapalham no entendimento.
91800	97200	Então assim, a gente vai por um ícone de doação ali do pack seguro do lado do site.
97200	104600	Aí vocês fazem uma doação que a gente, quando a gente conseguiu um dia, a gente comprou uma mesa e um microfone sempre profissional, que eu acho que vai melhorar a barçante.
104600	107500	Já seguindo as dicas do pessoal, vamos bem direto, já vamos?
107500	108200	Terminamos também.
108200	111700	Eu queria só falar aqui uma coisa que a gente falou no episódio passado.
111700	114500	Foi sobre a banda Note a Number, do Carlson.
114500	117800	Que na verdade não é do Carlson, do Nerdson.com.
117800	122900	Ele é do Carlson Galdino, que é xará, mas não é a mesma pessoa.
122900	127000	A galera curtiu o negócio das paródias aí, a gente vai colocar meio que um ícone de sinócio, né?
127000	128600	A gente não vai colocar mais o ícone do podcast.
128600	132400	Vai colocar as paródias separadas de uma outra sessão do site.
132400	135500	Já tem duas paródias completas aí relacionadas.
135500	136100	A galera gostou.
136100	139000	Uma inclusive está gravada em rascunho.
139000	141900	A gente vai ver o link aí embaixo, no post.
141900	145300	Vocês visitam o post, vai lá e olha que vai ter aí no link lá.
145300	148100	E as outras provavelmente vão ser um pouco melhores.
148100	149100	Sabe o que foi que escreveu a outra?
149100	149600	Aí é quem?
149600	151500	Jajan Madafaka One Taylor.
151500	153400	Ah, Jajan Taylor, man.
153400	160700	Ele pegou o exemplo que eu fiz lá no podcast anterior e fez a música inteira do casuto lá.
160700	161500	Ah, bota fé.
