start	end	text
0	15000	Você está ouvindo a Fribo do CRI FODECAST!
15000	22000	Fribo do CRI FODECAST, episódio 4 para o dia 27 e do 8 de 2010, Arquitetura de Computadores.
22000	26000	Meu nome é Sheldon Led e meu cérebro funciona segundo a arquitetura de Von Neumann.
26000	34000	Meu nome é Alemão, sou o substituto do Sebastian Hellsum e neste podcast vamos falar sobre o que rola dentro do computador e como é trabalho.
34000	42000	Fribo do CRI FODECAST, episódio 4 para o dia 27 e do 8 de 2010, Arquitetura de Computadores.
42000	62000	Fribo do CRI FODECAST, episódio 4 para o dia 27 e do 8 de 2010, Arquitetura de Computadores.
62000	68000	Bom, como pessoal pode perceber aí, o podcast está sendo gravado todo o final do mês.
68000	79000	Então a gente decidiu ser eu mais o Sebastian Hellsum fazendo uma reunião ali e decidimos fazer dessa maneira nosso intuito é entregar o podcast toda a última sexta-feira do mês.
79000	82000	Pelo menos até o final do ano está projetado para ser assim.
82000	88000	No mês passado teve um atraso, a gente entregou no sábado e esse mês nós vamos tentar entregar no horário certo.
88000	98000	Mas eu não prometo, se vocês estiveram ouvindo e agora, no dia que não é o dia 27 de agosto, então vocês podem culpar na gente aí porque realmente é muito complicado.
98000	103000	É muito comum você ver pessoal da área de programação atrasar nos projetos aí.
103000	108000	Não vai ser diferente na hora das nossas coisas que a gente faz por prazer também.
108000	115000	Eu queria falar também que a gente gravou o podcast no meio do mês passado e ele foi entregue só quando já tinha voltado do Fizz.
115000	123000	Então ficou assim até às vezes um pouco desconexto assim, eu não tenho falado do Fizz sendo que eu já tinha ido e tinha voltado e no podcast não falei nada do Fizz.
123000	129000	Então está aí a explicação que é porque realmente a gente gravou bem no começo, mais ou menos no meio do mês.
129000	134000	E foi por causa disso que a gente não falou no Fizz. Fala sobre as gatilhas de lá no Fizz né?
134000	136000	Rapaz do céu!
136000	144000	Te contava aí, porque o povo fala lá do Rio Grande do Sul, realmente tem muita uma é bonita lá.
144000	150000	Quando eu cheguei lá eu ia fazer um álbum gigante com todos os meninos bonitos que eu vi esse lá e ia tirar uma foto e ia colocar no site.
150000	158000	Mas eu fiquei meio frusado que eu chegava em um, tanto é vergonha que a gente tinha coragem de pedir uma foto pra ela.
158000	161000	Mas para as modelas eu não tinha vergonha não, era fácil né?
161000	164000	É só namorada, por causa de só namorada né?
164000	167000	Ah não, mas ela sabe que eu sou fiel a ela.
167000	172000	Já aquela história lá da sua foto que você tirou sem dúzia de frio, você tirou o sonor da foto?
172000	180000	Não, aquilo lá foi o seguinte, o pessoal que me segue no Twitter aí viu lá que eu tirei a foto e coloquei no tweet pic,
180000	183000	deu sem dúzia de frio a 12 graus Celsius.
183000	189000	A verdade é que quando eu fui pra lá o pessoal fez tanta polêmica que lá tava tão frio, mas tão frio,
189000	192000	eu não ia aguentar só com dúzia de frio normal e tal.
192000	200000	E eu comprei um monte de dúzia de frio, levei pra lá e eu consegui ficar lá razoavelmente bem até os 10 graus Celsius mais ou menos.
200000	205000	Só que aí eu sempre tava de dúzia pra evitar que a temperatura caísse demais, eu não morri de frio lá.
205000	209000	Mas realmente a gente teve sorte, o pessoal que foi com fizes aí, que não acostumado com frio,
209000	213000	teve sorte que lá no Rio Grande do Sul, na semana anterior, já teve temperatura negativa lá.
213000	219000	Quando a gente tava lá, a temperatura tava bem agradável em relação aos outros dias, né?
219000	221000	Aí foi tão complicado lá.
221000	223000	Mas sabe o que eu mais gostei lá?
223000	224000	O que foi?
224000	226000	Rapaz, eu virei nerd verdade agora.
226000	228000	Ué, que história é assim?
