start	end	text
0	3500	VOCÊ ESTÃO VINDO A TRÍMPO DO C.I. PODCAST
13000	17500	Trímpo do C.I. Episódio 5, para o dia 24 de setembro de 2010, redes de computadores.
21000	27000	Aqui é o Sebastian Hells, o senhor na agueta mais ouvir nos TCCs, definição de vírus, worms e o que é hacker, cara.
27000	32000	Meu nome é Sheldon Led e a internet não é uma rede de computadores que sim uma rede de pessoas.
32000	37000	Meu nome é Marcelo Fleuri e a internet é uma rede híbrida, de pessoas e computadoras.
37000	39000	Tá certo disso?
40000	42000	Queria que uma rede heterogênea.
42000	44000	Eu diria que é uma rede.
44000	46000	Queria que era uma internet.
46000	48000	Eu diria que não é só Orkut em MSN.
50000	52000	Eu não digo mais nada, porque tá chato.
52000	54000	Esse futebol de Twitter também.
54000	57000	No princípio, a internet era Orkut MSN.
57000	60000	Ex, agora, Facebook e Twitter na parada.
61000	63000	Como é que o pessoal esqueceu do YouTube?
69000	71000	Então, chegando aqui na leitura dos meios.
71000	73000	O que você acha?
73000	74000	De redes?
74000	76000	É segurança de redes ou sua rede, né?
76000	78000	Ah, eu quero falar sobre isso, cara.
78000	79000	Eu tenho um monte de dúvidas.
79000	81000	Eu quero ver se eu tiro também uns 10.
81000	83000	Antes de começar a ler os meios de verdade,
83000	85000	eu queria, primeiramente, já lembrar
85000	87000	que hoje nós temos outro participante,
87000	89000	que é o Marcelo Fleuri.
89000	91000	Opa, prazer.
91000	94000	Então, Marcelo Fleuri vai estar aí dando participação pra gente, como vocês viram.
94000	96000	E...
96000	98000	Ele vai falar sobre redes.
98000	100000	Eu tenho um background bem legal aí de sobre redes.
100000	101000	Vai falar depois.
101000	103000	A gente vai falar depois também sobre o CIPROX,
103000	105000	que é o projeto dele de redes.
105000	107000	Mas isso vai ser um assunto no próximo podcast.
107000	109000	Só que dessa vez vai ser o próximo podcast mesmo.
109000	111000	Mesmo que vem, nós vamos falar sobre o CIPROX.
111000	113000	Já tá marcado, já.
113000	114000	E o...
114000	116000	O que é esse blog sem nome?
116000	118000	Ah, esse é um brother aí que eu conheci.
118000	120000	Aí ele tem um...
120000	121000	um blog dele.
121000	123000	Ele é daqui de Goiânia também.
123000	124000	O blog sem nome.
124000	127000	Porque, na verdade, é um blog pra galera...
127000	128000	Não dizer assim...
128000	129000	Adolescente, né?
129000	130000	Porque...
130000	132000	Se considerar adolescente entre...
132000	134000	12 e 18, é uma coisa assim, né?
134000	136000	É uma lação de Goiânia.
136000	137000	Uma lação de Goiânia.
137000	139000	Você fala sobre esses assuntos,
139000	140000	os teenagers aí.
