start	end	text
0	3000	Você está ouvindo A Trifúdice Podcast
4800	9500	Trifúdice e Podcast, episódio 6 para o dia 29 de outubro de 2010
9500	13400	Meu nome é Sheldon Ledy e esse projeto nos dará a visão além do alcance
13400	15500	Olá, amancebados da tecnologia
15500	18500	Aqui é Sebastião Hellsum e a minha entrada é mega original
18500	19000	Não, não, né?
19000	21500	Ah, esse é Project People
22000	23000	Que é isso, rapaz?
23000	24000	O melhor é ser esse
24000	25500	Que tem que chamar o pai ali
26500	30500	E eu sou o alemão, então vamos para as leituras de K-Mails
30500	31500	O que é isso?
31500	32500	O que é isso?
32500	34500	O Marcelo Floria ainda?
34500	37500	Meu nome é Marcelo Floria, porque a força esteve com boa
42500	44500	Agora realmente vamos para a leitura de e-mail
44500	47000	Na verdade nem teve leitura de e-mail, nem teve e-mail
47000	50500	Todos os feedbacks que a gente recebeu, a gente recebeu pro Twitter
50500	53000	Pessoal mandou o reply para a tribu do C.I.
53000	55500	O reply para mim, falando que o áudio melhorou
55500	58000	Então ficou legal, o que achou um pouco extenso
58000	60500	Caso, na minha opinião, não veio o e-mail
60500	62500	Porque os e-mails só vinha o pessoal reclamando
62500	64000	E agora que ficou bom, o pessoal não reclamou mais
64000	64500	O que você acha?
64500	65500	É meio no áudio, né?
65500	67500	Agora no conteúdo, não posso aproveitar
67500	69500	É, mas a tribu do C.I. Labs
69500	72500	Está preparando coisas novas aí para os próximos episódios
72500	74500	Pique por dentro, assine nosso feed
74500	77500	Siga no Twitter, o Hellsum alemão, Sheldon Ledy
77500	78500	Todo mundo no Twitter
78500	80500	Falar das esterias do Nooks
80500	82500	Oh, estou ficando importante, rapaz
82500	84000	Pois é, as tirinhas do Nooks
84000	86000	Eu comecei a fazer elas em casa
86000	88000	Eu estava com um escape aberto
88000	89000	Veio surgindo as ideias
89000	90500	E acabou virando o que é isso aí
90500	92500	Agora estou integrado no tribu do C.I.
92500	93500	Toda quarta-feira
93500	96000	Também estou participando da revista Espírito Livre
96000	99000	Você pode acompanhar as tirinhas inéditas
99000	101500	pelas novas revistas que foram lançadas
101500	103000	a partir da edição 19
103000	104000	Então, acesse lá
104000	105500	Vamos falar do blog sem nome, né?
105500	107000	O Rafael CT
107000	108500	Dessa vez eu não vou perder a oportunidade
108500	110000	de tocar chá nebrau
110000	111000	É
112000	113500	Vou te levar
114500	115500	É, essa aí, é
118500	119500	Esse aí, o Rafael
119500	122500	Ele é o editor-chefe do blog sem nome
122500	124500	Ele está acompanhando o nosso podcast
124500	125500	Nosso blog
125500	127500	Já faz um tempinho, ele assistiu a minha palestra
127500	129500	No Fissol 2010
129500	130500	E aí eu peguei contato com ele
130500	132500	Acho que na quarta-feira retrasada
132500	134000	Eu coloquei uma tirinha que ele fez
134000	136000	Que foi um crossover do tribu do C.I.
136000	137500	Do H.K. Nooks
137500	138500	E do blog sem nome
138500	141500	Que foi uma tirinha sobre o fato de um C
141500	144000	Amantes da programação em C
144000	146000	O Nooks já tem, inclusive, uma arte, né?
146000	147500	Vamos ser feliz, bola para a frente
147500	148500	Que atrasem a gente
148500	150000	Ano que vem vai ser o 2011
150000	151500	E como está acabando o mundo
151500	154000	Eu vou colocar bastante coisa nova no tribu do C.I.
154000	156000	Vocês vão ver e vão gostar
156000	157000	E vão baixar
157000	159000	Igual que a musiquinha lá do guana cash, sabe?
159000	160500	Eu queria fazer um agradecimento
160500	161000	Fazer aí, pô
161000	163000	Bom dia, boa tarde, boa noite
163000	165000	Eu queria fazer um agradecimento aí para a galera do
165000	166500	Filhos da Pauta Livre
166500	168500	E retuitar o nosso episódio 5
168500	169500	Muito maneiro, valeu mesmo
169500	171500	Pois é, também está seguindo a gente no Twitter
171500	173500	No Twitter da Tribu C.I. também
173500	175500	E provavelmente deve ter feito download
175500	177500	Para retuitar e saber da nossa existência
177500	179500	Eu acho que deu o vídeo nosso pô de quer
179500	182000	Abração aí para a galera do Filhos da Pauta Livre
182000	184000	Alemão, últimas palavras
184000	186000	Sessenta segundos para você
186000	188000	Valeu e oportunidade, mais uma vez
188000	190000	É que eu quero mandar um abraço e vou...
192000	194000	Para a galera da pizzaria e do pô de sol
197500	198500	Queísmo!
198500	200500	Pissaria e o pô de sol conhece
200500	202500	Tem gastipã na TV, mas a ver
202500	203500	Tem slot lá, cara
203500	204500	Tem slot também
204500	205500	Ah, é
205500	207500	E também se vocês quiserem acessar todos os astirinhos
207500	209500	Do Lux, abaixo do podcast
209500	210500	Vai ter um link
210500	212500	Eu queria falar que eu vou para Latinué
212500	214500	2010
214500	215500	Fóis do Guaçu
215500	217500	Na Itaipu Bin Nacional
217500	219500	Então, eu vou para Latinué
219500	221500	E eu enviei lá umas chamadas
221500	223500	Submeti umas chamadas de trabalho
223500	225500	E se eu for palestrago
225500	227500	Ficar muito empolgado
227500	229500	Vocês vão ver bilhões de tweets
229500	231500	No M.C.G
231500	233500	Vai ter que sofrer e colocar muito feliz
233500	235500	Vou dar trinta tuitadas por minuto
235500	237500	De felicidade para estar na Latinué
237500	239500	Mas não sei se vocês vão aceitar não
239500	241500	Porque eles são... sei lá
243500	245500	Esse podcast é um ofrecimento
245500	247500	Humor digital
247500	248500	Humor na web
248500	249500	Vlogging sem nome
249500	251500	Divinhas do NURS
251500	253500	E se proje...
253500	254500	Do Sol
254500	255500	Latinué 2010
255500	257500	Business 2011
257500	259500	Fora um Goiano 2010
259500	261500	Que vai ser dia 10 e 11 de novembro
261500	263500	Nós vamos falar mais no próximo podcast
263500	264500	Que vai ficar mais próximo
264500	265500	Maxwell Alecá
265500	266500	Eu vou dar uma dica aqui
266500	267500	No próximo podcast
267500	269500	E a gente vai ter a presença do...
