start	end	text
0	4300	Você está ouvindo a Tribo do Sei e Quantes Quereses
9000	13000	Tribo do Sei, episódio 7, para o dia 26 de novembro de 2010
13000	16500	Porque festa de nerd é evento de TI!
22500	24500	Meu nome é Sebastian Hells e eu comecei...
24500	27000	Mexei com eventos com VDC
27000	30500	Opa! Meu nome é Alemão e eu sou o mini new da ZAR
30500	33500	Meu nome é Sheldon Led e o melhor do evento está nos corredores
33500	34500	É isso aí, mano
34500	36500	O meu é no onclick
37500	39000	Cadê o Joelys, pô?
39000	40500	Ele foi no banheiro e já volta
40500	42500	Tá bom, vamos ver o Ziniz enquanto ele se paga
48500	50500	E o Sheldon Led foi para o latino, ué?
50500	52500	E o que que aconteceu lá no latino, ué?
52500	53500	Gafanhoto
53500	57500	Bom, a primeira coisa é que agora eu sou um androider
57500	58500	Que seria um androider?
58500	61500	Uma pessoa que tem um celular com androide
61500	63500	Ai, mas como?
63500	67500	Então, comprei meu motorola Maison, fiz um mini review dele lá no blog
67500	70500	Sim, eu gravei uns vídeos nele também
70500	72500	E aí, eu sei, estou achando o máximo assim
72500	74500	Eu também estou com um guide novo
74500	76500	Qual que é?
76500	82500	É um Saimi 660, eu vou postar algumas fotos dele depois dele para a galera apreciar
83500	85500	Vou fazer um review também
85500	87500	Então tá bom, vamos ver
87500	89500	A gente não perde por esperar
89500	92500	Bom, e por falar em vídeos, eu gravei um vídeo lá na sala dos palestrantes
92500	94500	Que eu também fui um palestrante, ué?
94500	97500	Ah, um vídeo pedante para cá
99500	102500	Pois é, eu fui palestrante na Latinué
102500	104500	Eles aceitaram minha palestra
104500	107500	E como eu tinha falado no episódio anterior
107500	110500	E gravei um vídeo e eu inclusive tenho uma errada no vídeo
110500	112500	Você acredita que eu ainda fui capaz de ir lá no vídeo?
112500	114500	Até no vídeo, cara
114500	115500	Aí eu...
115500	118500	O que eu ouvi é que você não era um palestrante?
119500	122500	Não, nem tanto também
123500	125500	Não, não era eu, não era eu
127500	129500	Pô, eu só falo aqui
129500	134500	Bom, o eu foi o seguinte, que eu tava lá o Mad Dog e o Dogo McLaren
134500	136500	Que eram os dois estrelas do evento
136500	140500	Falei assim que o Dogo McLaren fez umas paradas de redes
140500	142500	Mas não tem nada a ver com redes
142500	147500	O Dogo McLaren fez alguns dos principais programas do sistema Unix Like
147500	151500	Você sabe identificar algum? Você lembra de algum? Conhecer?
151500	155500	Eu só conheço uns que o Richard Digital Mo'Face
155500	158500	Ah, isso foi pedante
159500	162500	Aquele tal de Spick lá
162500	166500	É aquele... Mesmo coisa de Spick
166500	169500	Aquele programa que conversa com você
169500	171500	Faz perguntas difíceis, né?
171500	174500	Valeu, mano, eu escreveu vários artigos aí a respeito
174500	175500	É verdade
175500	177500	Speed to text
177500	178500	Sim
178500	179500	Mas eu...
179500	181500	É porque tu não é cego, nem...
181500	183500	Que não precisa usar essas coisas
183500	184500	É verdade, é verdade
184500	186500	Não, mas o primeiro...
186500	189500	O principal programa que ele fez assim mesmo
189500	191500	Que o pessoal mais conhece é o Diff, sabe Diff?
191500	193500	Então, foi esse aí
193500	196500	Mas ele criou o conceito do Pipe, sabe?
196500	199500	Porque você faz um comando, Pipe e outro comando
199500	201500	Foi ele que fez também
201500	203500	Então, aí foi esse aí
203500	205500	Como é que foi a palestra lá?
205500	207500	Enrolou tudo bem?
207500	210500	O Data Show não deu problema, não?
210500	211500	Pelo menos
211500	214500	Primeiro que a palestra, eles...
214500	216500	Eu tive que improvisar lá um pouco, tal
216500	218500	Mas foi demais, foi bom
218500	220500	Teu deu um pouquinho errado
220500	223500	No virtual box não estava funcionando
226500	228500	Teve recompilar o Kerala, não?
229500	231500	Mais ou menos
231500	234500	Era só... Não, eu fiz um artigo também
234500	235500	Se eu quiser seguir
235500	237500	Foi, foi mais ou menos isso, sim
237500	239500	Lá deu certo
239500	241500	Não, mas deu tudo bem
241500	242500	Aí tinha uns...
242500	244500	Tinha uns povos lá que falavam...
244500	246500	Só se não entendia espanhol
