start	end	text
0	4000	VOCÊ ESTÁ OVINDO A TRIBO DO CEI POR CARES
4000	7000	TRIBO DO CEI EPISÓDIO 8
7000	9000	NATAL E VIRADA
9000	12000	SEMIRRETRUSPECTIVA 2010
12000	16000	Meu nome é Sheldon Led e musicuinho de natal, caralho, bota um rock em rua nessa poeira
16000	21000	Aqui é Sebastião Hells e eu tomo decisões na minha vida de acordo com a trajetória do herói
21000	25000	Nesse podcast nós vamos falar sobre alguns acontecimentos que aconteceram em 2010
25000	28000	Que nós julgamos importantes, isso não significa que vai ser importante para você
28000	30000	Mas foram importantes para nós
30000	31000	Ou não
31000	32000	Então vamos para os...
32000	33000	É melhor
43000	49000	Nós temos a grande capacidade de entrevistar a pessoa num podcast e ele está presente no outro
49000	50000	Já percebeu isso?
50000	54000	Tem um monte de presente nos podcasts, parece que ele gravou tudo um dia só
54000	57000	É verdade, quem está aqui com o Sam hoje na gravação?
57000	58000	Joelias
58000	59000	Os voos grossos
59000	61000	Zense, nossa
61000	64000	Vou fazer um comentário malduz da voz grossa, deixe para lá
64000	65000	Nossa
65000	67000	Olha, mas o primeiro podcast é Atruá
67000	69000	Atruá? O que vem a ser? Atruá
69000	70000	Atrespo
70000	72000	De onde você inventou isso?
72000	74000	É do menagem Atruá
74000	76000	Você tirou isso?
76000	77000	Quem sabe...
77000	79000	Quer dizer, quem sabe não precisa dizer
79000	82000	Quem não sabe hoje que a gente não pode dizer
82000	84000	Por favor, Joelias, leia seu e-mail
84000	86000	Sheldon disse que conseguiu a camiseta de colaborador
86000	89000	Só que ele esqueceu de dizer como que ele conseguiu a camiseta de colaborador
89000	91000	As coisas a gente pode comentar
91000	96000	Esse está no manual do político, você nunca comenta coisas que podem sugerir
96000	99000	E ser polêmico, não sei se é esclarecedor
99000	102000	Quer dizer que a gente vai gravar um podcast?
102000	106000	Sheldon foi aqui em Goiânia dizendo que está namorando, né?
106000	109000	Eu estava resolvendo uns assuntos muito importantes
109000	112000	Estou fazendo safadas, vez de trabalhar, vou falar, viu
112000	113000	É safadeza oculta
113000	117000	Dançou, porque além do podcast ainda perdeu o lanche interior urbano ainda
117000	119000	No episódio anterior...
119000	123000	No episódio anterior eu falei a frase que estava lá no brazo, um tocanquinho
123000	126000	E tem grandes senhores de estar errado, então daí eu pesquisei um pouco mais
