start	end	text
0	21620	Alô! E aí, de rock, certo?
21620	24600	Oh, Brão, e aí, certo? Mano, tá esperando você me ligar mesmo?
24600	26540	Qual é a nova? É sobre mulher e tal.
26540	28560	Mulher? Que tipo de mulher?
28560	29560	Se liga aí, mano.
29560	34560	Mulheres na tecnologia, você está ouvindo o Tribu do CEI Podcast.
34560	36560	Você fica mesmo, hein?
36560	37560	Ok.
37560	42560	Tribu do CEI, episódio 9, para o dia 18 do 2º de 2011.
42560	44560	Mulheres na tecnologia.
44560	48560	Meu nome é Sheldon Led, e se temos informação, eu curso para mulherzinha.
48560	51560	Aqui é a Seba Sean Hellsum, e eu fiz um curso para Homem de Verdade.
51560	53560	Cês da computação.
53560	57560	Ah, fazendo engenharia da computação, que isso é para máfio mesmo.
58560	61560	É claro que é brincadeira, né, gente?
61560	63560	É brincadeira, gente. Você nem o preconceito, né?
63560	67560	É, mas eu estou falando nisso, é porque a gente está gravando hoje, né?
67560	71560	De noite, depois que eu cheguei da alta, eu estou pegando o material com o pessoal de semos de informação.
71560	76560	E lá tem três garotos na sala, e todas as três são bem, digamos, que aparentáveis.
76560	78560	Tem uma aparência agradável aos olhos.
78560	80560	E coisa que não acontece na engenharia, né?
80560	81560	Ah, tá ligado.
81560	84560	Então é por isso que eu falei assim, brincadeira, tá?
84560	87560	É, não tem nem um estudo científico.
87560	89560	Com o próprio.
89560	90560	Isso.
90560	91560	Então tá bom.
91560	95560	Nesse podcast, nós vamos falar sobre... sobre... sobre quem mesmo?
95560	96560	Sou mulher.
96560	97560	Sou mulher.
97560	98560	Mulher.
98560	99560	Com mulher.
99560	100560	Com a de mulher.
100560	101560	Com a beleza.
101560	108560	Então, antes da gente falar sobre o podcast em si, nós devemos satisfação para os nossos espectadores.
108560	112560	Nossos ouvintes ácidos, que não maldem mesmo.
113560	114560	Nem o joinha.
114560	115560	Nem o joinha.
115560	116560	Nem comentário.
116560	120560	Nem comentário, mas a gente... tá aí, né?
120560	123560	Então, no mês de janeiro, não teve podcast.
123560	124560	Devido?
124560	129560	Devido a circunstâncias ortogonais, científicamente, não qualificadas.
129560	130560	E é diverso.
130560	131560	E é diverso.
131560	133560	Estrogonoficamente sensível.
133560	136560	Então, no mês de janeiro, não teve podcast.
136560	145560	Porque eu viajei, e aí depois eu voltei, e aí depois eu viajei de novo, e depois eu viajei outra vez, e depois eu fui para campus party.
145560	146560	E assim por diante, né?
146560	147560	Sim.
147560	150560	E aí, quando eu voltei da campus party, eu tava com... que o pessoal já sabe.
150560	153560	Quem é o ouvintes ácido, já sabe, porque eu sou home office.
153560	154560	Estava com...
154560	155560	Home office?
155560	156560	Home office.
156560	157560	Home office.
157560	158560	Home office.
158560	161560	É pra falar nisso, a gente tem... o alemão agora tá trabalhando, né?
161560	162560	É verdade.
162560	163560	Fichado.
163560	165560	São coisas muito importantes.
165560	167560	Sim, que nem eu.
167560	168560	Então, surpresente, hein?
168560	170560	Sabe, eu sou boy office, né?
170560	171560	E diferente.
171560	173560	Ou ao contrário, assim.
173560	175560	Como assim, boy office?
179560	180560	Então, aí...
180560	181560	O que aconteceu?
181560	187560	Como... quando eu voltei da campus party, eu tinha um... o projeto lá tava um pouquinho atrasado.
187560	194560	E eu tava trabalhando meio que quase de noite, assim, pra voltar ao normal.
194560	199560	E aí, como eu tava trabalhando muito, eu não tive tempo pra gravar o podcast.
199560	202560	E como o Sebastião não viu isso em mim, aí...
202560	203560	É, pro tempo...
203560	204560	Música do hook.
204560	205560	Por dia de vez.
206560	207560	Então, pessoal...
207560	210560	O podcast... o podcast é uma unidade, cara.
210560	211560	Pois é, cara.
211560	213560	Qual tá algum descoponente?
213560	215560	É, mole, é mandade aqui, cara.
215560	217560	Mó firmezons, mole, firmezons.
217560	218560	Pode ter certeza.
219560	220560	Então...
220560	223560	Mas é isso aí, então... pra...
224560	225560	Compensar?
225560	229560	Então, pra compensar os nossos ouvintes fiéis, que nem mandem meio...
229560	230560	A gente...
231560	232560	Mas tem problema, né?
232560	233560	Oi?
233560	234560	Tem problema, não?
234560	236560	É, ouvindo, tá bom.
236560	238560	Mas é bom mandar um e-mail, comentar...
238560	239560	Joinha...
239560	240560	Estraninha.
240560	242560	A gente tem estraninha agora no podcast.
242560	245560	É, tem várias novidades pra 2011, hein.
245560	248560	Tribus sale leves, como sempre, prometendo muito.
248560	249560	Com certeza.
249560	250560	E realizando agora.
250560	251560	A gente realizando.
251560	253560	E... nós temos...
253560	254560	Comunidade no Orkut?
254560	255560	Tem.
255560	258560	É, felizmente eu vou fazer parte dessa comunidade, mas...
258560	262560	Pois é, nós temos página no Facebook, como dá no Orkut, Twitter.
262560	263560	Da Tribus Sale.
263560	264560	Twitter.
264560	265560	Tem que tweetar.
265560	268560	É, não, mas tem um link já no site pra isso.
269560	272560	Tanto do Orkut, quanto do Twitter, quanto do Facebook.
272560	273560	A gente vai gravar...
273560	275560	Vai ter dois episódios esse mês, né, esse mês?
275560	277560	Dois episódios!
278560	281560	Cara, a gente tem que gravar com Rafael.
281560	282560	Com certeza.
282560	286560	Esse episódio de gênero, o episódio de gênero a gente tem que gravar com Rafael.
286560	288560	Rafael OCT do block sem nome.
288560	289560	Isso.
289560	290560	O CT é de quem?
290560	291560	Carvalho Teodoro.
291560	292560	Teodoro.
292560	293560	Pois é.
293560	294560	Aí não deu.
294560	297560	É estranho, né, essas pessoas que a gente conhece só, lendo.
297560	298560	Verdade.
298560	300560	Que falando não fica tão legal, né, Rafael OCT.
300560	301560	É verdade.
301560	303560	Eu sempre me referi a ele a Rafinha.
303560	304560	Rafinha?
304560	305560	É.
305560	306560	É porque ele é novinho, de menor.
306560	308560	É jovem, né, é jovem.
309560	310560	Então.
310560	319560	E esse mês vai ter dois podcasts e dois episódios com a entrevista das MNT.
319560	321560	MNT é mano na tecnologia?
321560	324560	É, os mano firmazão na tecnologia, amor.
324560	326560	É, meninos na tecnologia.
326560	327560	Então.
327560	328560	Que aconteceu?
328560	330560	Teve um bate-papo.
330560	335560	Quer dizer, a princípio a gente ia gravar um episódio específico falando do grupo, né.
335560	339560	Mas acabou que rolou um bate-papo.
339560	340560	A gente aproveitou.
340560	348560	A gente aproveitou a oportunidade e a gente fez dois podcasts numa gravação só.
348560	350560	É, ficou bem da hora.
350560	355560	Foi porque foi assim, no último sábado, no caso para quem a gente ouvi recentemente,
355560	359560	então o podcast, foi dia 12 de fevereiro de 2011.
359560	362560	Teve o bate-papo com as meninas na tecnologia.
362560	364560	Ou mulheres na tecnologia.
364560	368560	E participou lá do bate-papo, Sebastian Hells.
368560	369560	Conhece?
369560	370560	Que é o lado da tributo C.
370560	372560	C, C.
372560	373560	Inclusive.
373560	376560	Teve a Yara Sanger.
376560	378560	Yara Sanger.
378560	380560	Evangelista Global Cod.
380560	383560	Ela se apresenta.
383560	388560	Todos se apresentaram, que estavam apresentes lá, mas o áudio ficou meio ruim.
388560	392560	Então eu acabei deixando o sol da Marcia e da Yara.
392560	393560	Pois é.
393560	398560	E teve também a Flávia Suáez, do Gojava, Lucas Fragaumini.
398560	399560	Quem é isso, Lucas Fragaumini?
399560	402560	É porque estava acontecendo o Arduino Hackday.
402560	404560	E o que é Arduino?
404560	406560	Arduino é um toolkit para a robótica.
406560	407560	E o que?
407560	411560	Faz tudo o que o proéctodo Jojoan faz.
411560	414560	Só que bem mais simples.
414560	416560	Eu conheço o Arduino.
416560	417560	Eu conheço o Jojoan.
417560	418560	Ah, legal.
418560	419560	Eu não conheço.
419560	425560	Vai estar um link no post para o episódio sobre o Arduino no Graco Podcast.
425560	430560	Então, teve o Lucas Emanuel, também, que estava sempre envolvido na comunidade do software livre em Goiás.
430560	432560	Ele participou até do Pequenico com a gente?
432560	433560	Com certeza.
433560	437560	Ele é o cara que sempre faz o site do Flissó, do Foram Goiã e tal.
437560	440560	Ah, não sabia não, só sabia do Alemão.
440560	442560	Sim, ele é da parte do desenvolvimento.
442560	446560	Ele, a Ana Flávia, tem o outro pessoal aí também, que eu não estou lembrado agora.
446560	448560	E assim por diante.
448560	451560	E tem a Ingrid Castro.
451560	453560	Acho que ela é a namorada do Rafael Adrien, né?
453560	454560	Do Gorjava.
454560	455560	Ah, é verdade.
455560	458560	Teve também a Cleviane, que é do grupo...
458560	463560	Se você não estiver a namorada do Rafael Adrien, aí, desculpe aí.
463560	466560	E como é que é mesmo?
466560	468560	Tem a Cleviane.
468560	470560	A gente não está falando da Cleviane, não?
470560	471560	Não.
471560	473560	A Cleviane é analista de teste.
473560	474560	Uma legal.
474560	477560	A maioria das mulheres vai para essa área de teste, né?
477560	481560	Eu vou fazer até um monte das coisas que a gente comentou no final do episódio.
481560	482560	Pois é.
