start	end	text
0	2000	Susego, qual é?
2000	5000	Tô na hoje da fome, em briga de cachorro grande!
5000	6000	E rotas na boa!
6000	8000	Deixar o mundo ser salto pelos homens?
8000	10000	Claro que não!
11000	12000	Claro que não!
12000	16000	Você está ouvindo o Ributo CEI Podcast!
26000	28000	Ributo CEI Podcast, episódio 10.
28000	30000	Bate o papo, menina, segunda parte.
30000	33000	Porque se você bater o réu, eu quero música do Hulk já no começo.
33000	34000	Aqui é a Marcia!
34000	36000	E por que você quer música do Hulk no começo?
37000	41000	Em episódio passado, a gente...
41000	44000	Era um episódio já de...
44000	47000	De palavras de cuidar de gênero, tal.
47000	50000	E a gente tava um papo muito denso.
51000	52000	Tava muito denso.
52000	53000	Como assim? Como assim?
53000	55000	Papo muito sério.
55000	58000	Daí, a gente fez uma introdução tanto quanto...
58000	59000	João Cosas.
59000	60000	Eu não entendi.
60000	62000	Como assim? Pode explicar um pouco melhor?
63000	65000	Então, aí, tipo, foi engraçadinho, né?
66000	67000	Ah, é verdade.
67000	69000	Gente, o pessoal aqui radicalizou.
69000	70000	Como assim?
70000	72000	Sistema de informação por uma menina?
72000	73000	Então, tudo bem.
73000	74000	Eu fiz sistema de informação.
74000	76000	Mas tinha um monte de homem lá.
76000	79000	E eu acho assim, vocês foram um pouco preconceitosos.
79000	80000	Fala a verdade.
80000	83000	A gente falou que era brincadeira, mas...
83000	85000	A gente teve gente...
86000	87000	Teve uma galera que ficou irada aí.
87000	88000	Quer dizer, é uma galera nova.
88000	89000	Uma pessoa que falou, né?
89000	91000	Mas pode ter mais gente que ficou assim.
91000	93000	Então, a gente fica muito triste.
93000	95000	Não, mas no final eu achei cômico.
95000	97000	É, teve uma galera que riu pra caramba, mas...
97000	98000	Nem todo mundo.
98000	99000	Eu, por exemplo, adoro piadinha.
99000	101000	Então, assim, eu achei legal.
101000	102000	Voltamos pro podcast.
102000	104000	Nesse podcast, vamos continuar o bate-papo
104000	106000	que aconteceu na R3TI.
106000	108000	Goiânia, no dia 12 de fevereiro de 2011,
108000	111000	com a Aira Sandyer e o grupo MNT.
111000	113000	Era um evento simultâneo,
113000	114000	o Arduino Hack Day.
114000	117000	E lá nesse bate-papo, tava a Aira Sandyer,
117000	118000	da Global Curde.
118000	119000	Ela é evangelista de Chava.
119000	120000	Tava grupo MNT.
120000	121000	Eu!
121000	122000	A Marcia.
122000	123000	A Mariane.
123000	124000	Da porta 22.
124000	126000	Cleviane, que ficou griladaça aqui.
126000	127000	Beijo, Cleviane.
127000	128000	Querida.
128000	130000	Ficou griladaça com a nossa introdução.
130000	131000	Teve a Flávia Soares,
131000	133000	que ela só se apresentou,
133000	135000	mas ela não falou...
135000	137000	A Flávia gosta de fazer, não de falar.
137000	139000	Ah, bom, tá certo.
140000	142000	Mas assim, a Flávia tem um lugar cativo
142000	143000	no Tributo 6, sabia?
143000	144000	Por quê?
144000	145000	Ela foi a primeira pessoa
145000	146000	que comentou a respeito do podcast.
146000	148000	Comentou o post do primeiro episódio.
148000	149000	Ah, que gracinha, Flávia.
149000	150000	Que legal.
150000	151000	Eu fui qual?
151000	152000	Acho que foi a partir de segundo episódio.
152000	154000	Voltando aqui das pessoas que estavam lá,
154000	156000	teve a Ingrid, o Lucas Fragomen,
156000	157000	que a esposa dele trabalha
157000	160000	com equidade de gênero na Caixa Econômica.
160000	161000	E o Lucas Emmanuel.
161000	162000	Qual ele?
162000	163000	Você esquecia alguém?
163000	164000	Foi um Rafael que ajudou a gente
164000	165000	na organização desse bate-papo.
165000	166000	Ele sugeriu a ideia.
166000	168000	Rafael, obrigado, tá?
168000	169000	Depois da 3TI.
169000	172000	Que também é uma nova parceira do grupo Anil.
172000	173000	Então a gente no episódio passado
173000	175000	a gente tinha prometido a segunda parte
175000	176000	para o mesmo mês.
176000	177000	A gente não conseguiu.
177000	179000	Vamos continuar o combate-papo, então.
179000	181000	Tá mega-vindos.
198000	203000	Tem uma coisa que eu acho que é importante,
203000	205000	que eu vejo muitas vezes
205000	207000	uma capacidade organizacional feminina.
207000	209000	De falar, olha, vamos organizar,
209000	212000	vamos planejar e ter, de alguma maneira,
212000	213000	isso daí.
213000	215000	E acaba refletindo em várias situações.
215000	216000	Eu conheço várias pessoas que falam
216000	218000	que há 5 anos eu vou casar,
218000	220000	depois de 2 eu vou ter filho.
220000	222000	Depois, engraçado essa capacidade,
222000	223000	eu conversei com a Ingrid.
