start	end	text
0	15000	Você está ouvindo o Tribo do C.I. Podcast!
15000	19360	Tribo do C.I. Podcast, episódio 11, entrevista com o Loiane Groner.
19360	23280	Aqui é Sebastião Nelson e é a primeira vez que eu estou gravando sozinho.
31000	37000	A ideia de fazer uma entrevista com o Loiane surgiu com o podcast com as meninas do grupo WMNT.
37000	41000	A gente queria colocar a entrevista junto com o podcast.
41000	47000	No entanto, ficou um pouco grande. A gente achou melhor colocar em um episódio separado.
47000	49000	Vamos lá para a entrevista?
54000	57000	Eu convidei a Márcia para fazer essa entrevista com a Eliana aqui.
57000	62000	Então, Nelson, mas explica aí, como é que a gente vai entrevistar a Loiane se ela não está aqui?
62000	70000	Então, principalmente, eu tento até fazer por Skype, mas a gente tinha que ter disponibilidade do horário dela e meu também.
70000	76000	Então ficou complicado. Eu acabei mandando as perguntas por e-mail e ela me respondeu no áudio.
76000	80000	Aí a gente vai gravar as perguntas para vocês saberem que a gente perguntou, não é?
80000	82000	Ah, entendi. Então vamos começar então.
87000	100000	O Loiane fala para a gente da sua formação. Do que você está trabalhando atualmente? No que você já trabalhou?
100000	107000	Olá, eu sou a Loiane. Sou baixa e ansiante da computação. Já trabalho na área de TI há mais ou menos cinco anos.
107000	115000	Atualmente estou trabalhando em um projeto internacional no IBM com foco em desenvolvimento web na plataforma Java.
115000	123000	E também trabalho com alguns frameworks JavaScript, como jQuery e XJS, além de liderar uma pequena equipe nesse projeto.
123000	133000	Então, ainda conhecendo sobre você, a gente gostaria de saber quando veio o interesse sobre informática até chegar à decisão de cursar uma faculdade na área.
133000	143000	Ah, bem, na verdade, eu sempre quis fazer curso de direito. Na metade do terceiro ano, eu decidi mudar de curso, mudar de uma nas para exatas,
143000	148000	porque eu não odiava ficar decorando todos aqueles fatos históricos que caiam no vestibular.
148000	154000	E sempre gostei também muito de física e matemática. Foi aí então que eu decidi fazer um curso de exatas.
154000	160000	Mas aí veio a dúvida. Qual curso fazer? Tinha as opções de engenharia, que eu não gostava muito.
160000	166000	E engenharia da computação e ciência da computação. E aí eu decidi fazer ciência da computação porque eu sempre gostei muito de computador.
166000	171000	E pensava que quando eu entrasse na faculdade, eu ia aprender a consertar computador.
171000	176000	Lógica de programação era uma coisa que nunca tinha... não sabia o que que era isso, né?
176000	184000	E aí quando comecei a faculdade, eu levei um baita-shock, porque os professores vieram com aquela ideia de algoritmos, né?
184000	190000	Não sabia nada daquilo. Então eu tive um pouquinho de dificuldade no início, mas aí eu decidi estudar bastante.
190000	196000	No final do primeiro semestre, eu estava continuado pela área. Foi assim que surgiu minha paixão por TI.
202000	207000	Moiane, explica pra gente como é que você trabalha com o seu marketing pessoal.
207000	216000	Começou na faculdade, no seu blog, ou já veio lá do ensino médio. Fala um pouco como é que nasceu essa cultura em você.
216000	220000	Sim, essa questão de marketing pessoal começou na faculdade mesmo.
220000	228000	No primeiro semestre, eu tive uma disciplina chamada Sociologia, onde o professor sempre estava de assunto diferente em cada aula.
228000	237000	Como por exemplo, autoestima com os comportar numa entrevista, como falar em público, como se vestir apropriadamente numa empresa, esse tipo de coisa.
237000	241000	Era uma disciplina que não tinha nada a ver com o curso, que era da área de humanas, né?
241000	245000	Mas acabou ajudando em outros aspectos da carreira.
245000	250000	No final, acabou sendo muito útil. Em uma dessas aulas, o professor comentou sobre marketing pessoal.
250000	254000	Falava sempre que a ideia é que você é um produto no mercado de trabalho, né?
254000	261000	Afinal, você está oferecendo um serviço e você precisa trabalhar essa sua imagem para ter algum tipo de valorização, né?
261000	267000	Para ter um poder de barganha. Como você vai oferecer uns serviços, você precisa mostrar as pessoas o que você sabe fazer.
267000	275000	Então, você precisa construir um nome. Na faculdade, então, comecei a tentar seguir todas essas dicas do professor e fazer um nome.
275000	279000	Tentar mostrar que eu conseguia trabalhar na hora de ter, que era bom que eu fazia.
282000	287000	Então, surgiu a oportunidade de participar da maratona de programação.
287000	295000	Foi a fase estadual no Espírito Sul. A nossa equipe ficou em primeiro lugar no estado e fomos qualificados para a fase final brasileira.
295000	302000	Na época, foi muito grande, porque a gente foi a primeira equipe do Espírito Sul para uma final brasileira maratona de programação.
302000	308000	E aí, começaram as notícias em jornais até porque terem a questão também de marketing da faculdade.
308000	313000	E aí, surgiu a oportunidade de ir fazendo matérias em jornais no decorrer da faculdade.
313000	316000	Foi convidado algumas vezes para fazer algumas entrevistas, algumas matérias.
316000	319000	E quando eu terminei a faculdade, eu decidi fazer o blog.
319000	324000	Eu estava perdendo muito tempo jogando videogame e eu queria aproveitar esse tempo para fazer alguma coisa útil.
324000	326000	Uma coisa que fosse boa para a minha carreira.
326000	328000	Em TI, você sempre precisa ficar atualizado.
328000	331000	Sempre precisa saber de tudo que tem de novo no mercado.
331000	337000	Então, eu decidi usar esse tempo que eu ficava jogando para estudar essas coisas e fazer um log.
337000	340000	Fazer um diário de tudo que eu estava aprendendo e publicado no blog.
340000	343000	Só que depois de um tempo, agora o blog tem dois anos, não é?
343000	345000	Eu acho que fez dois anos.
345000	347000	Tomou uma proporção que eu realmente não esperava.
347000	349000	O blog fica um pouquinho conhecido.
349000	352000	Então, eu tente transformar isso a favor.
352000	356000	Algo que seja bom para a imagem e para o currículo também.
366000	369000	E agora, vendo mais um outro lado profissional.
369000	372000	Como que é gerenciar equipes, você sendo mulher?
372000	374000	Ou assim, na verdade, você nem faz diferença ou faz?
374000	378000	Eu acho que tem uma diferença assim entre uma mulher gerenciando equipe
378000	380000	e um homem gerenciando equipe.
380000	383000	Acho que isso acontece com a maioria das mulheres.
383000	385000	Pelo menos isso acontece comigo.
385000	389000	Mesmo não sendo mãe, enrola aquele filho maternal.
389000	391000	Você sempre quer cuidar da sua equipe.
391000	394000	Você quer que ela se saia bem, se destaque.
394000	396000	Mas você também puxa a orelha quando precisa.
396000	401000	Acho que mulher trata com um carinho um pouco mais especial em relação a isso.
401000	406000	Tem também a questão de respeito por parte de outros homens, membros da equipe.
406000	410000	Primeiramente, porque você é mulher, acho que existe um respeito maior
410000	412000	quando essa diferença de sexo.
412000	417000	Quando você tem uma equipe só de homens, rola muito aquela questão da camarada.
417000	419000	A gente diz de um ser brother do outro.
419000	423000	E a mulher tem que manter um pouco mais de distância também.
423000	425000	Então, fica essa diferença.
425000	429000	Pode ser também que tenha essa questão de mulher ser o sexo frágil entre aspas.
429000	433000	Por isso, às vezes, alguns tratam com diferença.
433000	438000	Depois que você já tem certa intimidade com o equipe, já está trabalhando um bom tempo com isso,
438000	440000	essas coisas vão diminuindo.
440000	444000	Os homens passam de tratar mais como homem, não como mulher.
444000	447000	Pelo menos foi isso que eu tenho notado nessa minha experiência.
447000	449000	Como você está vendo a gente é bastante curioso.
449000	451000	Eu quero saber a seguinte sobre a sua rotina de trabalho.
451000	452000	Como é que é?
452000	456000	Você errou meu office, é com work, bate ponto todo dia com a gente.
456000	458000	Simples, mortais.
458000	461000	Minha rotina de trabalho, atualmente,
461000	463000	eu vou para a empresa todos os dias,
463000	466000	pego o fretado, na minha casa tem empresa,
466000	470000	eu moro em Campinas, mais um de eu trabalho em Autolântia,
470000	472000	mais ou menos 10 km de Campinas.
472000	473000	Um pouquinho afastado.
473000	476000	No meu projeto, não tem essa opção de fazer home office atualmente.
476000	481000	O cliente com que lido hoje é da área de saúde nos Estados Unidos
481000	485000	e a gente acaba processando muitas informações que são confidenciais.
485000	489000	Por isso, a gente precisa trabalhar numa área restrita no próprio site da empresa
489000	493000	para que não ocorra nenhum tipo de vazamento de informação.
493000	495000	O lado bom de você estar na empresa todos os dias
495000	500000	é que você pode ver seus colegas que aos poucos vão se tornando seus amigos.
500000	502000	Tem a questão de networking também.
