start	end	text
0	17600	Você está ouvindo o Tribú do CEI Podcast.
17600	22640	Tribú do CEI Podcast Episódio 12, aqui é Sebastião Nelson e é meio esquisito se apresentar
22640	23640	quando você está sozinho.
23640	31680	Nesse episódio vamos falar sobre o departamento comercial nas empresas de tecnologia da
31680	32680	informação.
32680	37320	Para esse bate-papo convidei Fabio Tais que é diretor comercial de uma empresa de segurança
37320	38320	da informação.
38320	41280	Vamos lá para o bate-papo já seguindo no formato com os recadinhos no final.
53640	63000	Bom, a gente pode começar falando das missões de um setor comercial em uma empresa de tecnologia
63000	67280	e quais os nossos principais desafios no dia a dia.
67280	71160	Até porque isso é comum para vários tipos de empresas.
71160	74720	É, o comercial acredito que não existe empresas sem.
74720	76920	Ou não deveria, né?
76920	80640	É, não deveria não ter, talvez, talvez fosse melhor.
81240	83040	Na verdade você hoje tem, né?
83040	87400	Tem empresas online que você tem um anúncio e você compra através desse anúncio.
87400	92320	Mas tradicionalmente uma empresa, seja ela qual for, ela tem um setor comercial para
92320	94560	fazer uma única coisa, vender.
94560	95560	Vender.
95560	97200	Absolutamente mais nada do que isso.
97200	100280	Isso vem mudando com o tempo.
100280	106680	Hoje a concepção moderna é que o comercial, principalmente na área de serviço, é muito
106680	110320	mais um facilitador de venda do que ele necessariamente um vendedor.
110320	115440	Aquele sujeito que bate na porta e tenta colocar uma enciclopédia goela abaixo e nunca mais
115440	117440	volta porque ninguém nunca mais quer ver ele ali.
117440	123440	Nesse caso o cara é responsável por vender, mas o outro cara é com suporte, né?
123440	124440	Com suporte e pós-venda.
124440	128080	Hoje o suporte e pós-venda inclusive são assuntos distintos, né?
128080	132880	Você tem o suporte e ele faz parte do pós-venda, mas o pós-venda é muito mais do que isso.
132880	137360	É o acompanhamento do cliente, é saber se ele está satisfeito com a solução, porque
137360	139320	eu interesse de continuar vendendo.
139320	143280	Isso inclusive em produtos, principalmente em serviço, mas inclusive em produtos.
143280	149040	Em empresa de tecnologia, tudo caminha para que o vendedor não exista mais.
149040	153240	Você tem uma equipe comercial que trabalha como facilitador.
153240	157200	Na minha área, principalmente, é uma área de serviço especializado em segurança de
157200	158200	informação.
158200	159200	Faz facilitador em que se sentir?
159200	164600	Imagina o seguinte, você não consegue enfiar o Góella abaixo uma solução que o cliente
164600	166720	não precisa, porque ele é um cliente corporativo.
166720	171640	Ele tem um orçamento para aplicar no ano, na empresa, em quais que é áreas.
171640	175680	No meu caso, você vai vender uma solução de segurança para alguém que não se sente
175680	176680	seguro.
176680	179760	É muito difícil, é muito difícil mesmo.
179760	184360	Então é muito mais simples que você se apresente, que o mercado te conheça e que
184360	188200	o mercado confia em você, para quando ele precisar ele te procurar.
188240	192600	Hoje é um caminho interessante e facilita muito a vida do comercial.
192600	195440	Talvez não facilite, mas valoriza muito.
195440	199640	O comercial hoje, no meu caso, eu nem chamo mais de comercial.
199640	204440	Os meus parceiros de setor são facilitadores de fato.
204440	210040	Eles têm a missão de construir network, fazer network, construir rede de contatos,
210040	215080	facilitar essa venda ao máximo possível, se tornando a marca conhecida e tornando ela
215080	217720	confiável, que é mais importante.
217720	219280	Essas são as dificuldades.
219280	223360	Quando você é o rosto da empresa, porque isso acontece com o comercial, tudo que você
223360	226040	faz de errado, ele se reflete na empresa.
226040	230400	Então a tua postura, ela tem que refletir o que você está vendendo, o que você diz,
230400	235320	a tua fala tem que refletir o que você está vendendo, a tua fala tem que refletir o que
235320	240480	você quer passar de fato, a segurança do teu produto, a confiabilidade desse produto.
240480	241480	Então vai muito além.
241480	244160	É muito complicado realizar a venda.
244160	249840	Na verdade, a venda é o final de um processo muito extenso que começa com uma boa estratégia
249840	252120	e termina ali na cenatura do contrato.
252120	257320	Mas hoje, no nosso negócio, vai durar aí de quatro a seis meses essa negociação.
257320	261320	Quatro a seis meses, desde o primeiro contato até...
261320	262320	Em média.
262320	263320	Em média, seis meses.
263320	267400	Em média, seis meses eu tenho clientes de um ano e meio, que até hoje a gente conversa.
267400	271760	Viramos amigos, que é um dos quesivos, que nada melhor do que fazer é amigo de fato.
271760	275920	Você consegue manter uma rede de relacionamento pessoal e profissional.
275920	279360	E tem muito desses negócios da indicação, né?
279360	284720	O cliente falou da parceria, tem muito grupos corporativos, grupo de empresas, que ele tem
284720	291000	os parceiros e a confiança que ele já passou para um cliente facilita nos próximos clientes
291000	292000	que viram.
292000	293720	Claro, é olhos e ouvidos do rei, né?
293720	298720	Você tem muitos parceiros no mercado escutando o mercado, esse é o termo que a gente mais
298720	299720	utiliza.
299720	302800	Eles escutam o mercado e detectam a necessidade.
302800	308960	Se o parceiro não precisa nem saber qual é o seu negócio a fundo, ele sabe o que problema
308960	312440	você resolve, então ele detecta o problema e te indica.
312440	317920	E isso é uma cadeia de fato, é o famoso network, que acontece no mercado.
317920	323720	A gente consegue ver isso até, de forma explícita, no site tem lá uma coluna de parceiros,
323720	327680	mas isso acontece mais no relacionamento interpessoal mesmo.
327680	328680	Isso.
328680	333640	É o negócio que conhece pessoas, que conhece pessoas e faz o que resolve o problema que
333640	334640	eles precisam.
334640	340880	É, comercial hoje necessariamente precisa ter, mais do que conhecimento, uma bela cadeia
340880	341880	de contatos.
341880	344960	Porque é isso que vai facilitar a vida dele no final das contas, né?
344960	352920	Bater perna, bater de porta em porta já não vem demais, é o que se fazia aí a 50,
352920	358360	60, sei lá quantos anos tem a relação comercial onde um vendedor de enciclopédios batia de
358360	362600	porta em porta e vendia o seu produto, independente da qualidade dele, você acabava comprando
362600	363600	para se livrar do vendedor.
363600	374960	Eu conheço gente que falou que ligou a lista de telefone, pegava um segmento, né?
374960	379760	Ah, eu tenho um software para auto peças, cara, pegava a lista de telefone que ficava
379760	382280	em cada auto peça oferecendo o produto.
382280	387040	E esse tipo de esforço, ainda hoje funciona assim, tem que ser direcionado, assim, uma
387040	388480	coisa mais... é de senso.
388480	393440	Você ainda faz esse tipo de serviço, mas faz de uma forma muito mais inteligente.
393440	395320	Pelo menos é isso que se espera.
395320	400080	Hoje você pode até pegar uma lista telefônica, estudar os contatos que te interessam e ligar
400080	404520	para eles, mas talvez não seja tão interessante assim você oferecer o produto que ele não
404520	405520	conhece.
405520	408800	Talvez seja muito mais interessante você fazer isso como pesquisa de mercado e como
408800	413840	conhecimento para que você quando for apresentar esse produto você tenha um meio de chegar
413840	414840	nessa empresa.
414840	419640	As empresas hoje, quaisquer que seja, elas têm um deslocamento muito grande, estamos
419640	424160	falando de empresas de TI, entre a pessoa que entende do negócio e a pessoa que tem
424160	426000	o poder de decisão sobre a compra.
426000	430400	Muitas pessoas falam não para você ver uma empresa dedo, secretária, até o dono da
430400	434320	empresa, mas é só uma empresa que te fala assim, você não tem um caminho certo para
434320	437520	chegar nesse profissional, a tua possibilidade de venda é muito pequena.
437520	442160	Eu pensei nisso também até por causa da ineficiência que acabou de falar, até a secretária
442160	447280	dar um não, porque o cara tem a lista telefônica lá e fala, eu sou de uma empresa de só,
447280	450880	a própria secretária tem uma decisão de falar, não, não está procurando.
450880	453600	A primeira pessoa que não entendeu o que ele fala, vai falar não, essa é a missão
453600	454600	que acontece.
454600	455600	Não, a gente não está precisando.
455600	456600	Exatamente.
456600	461000	Sem saber exatamente o que faz, absolutamente nada, com as pessoas que têm estratégias
461000	465320	para passar de secretárias, é um desafio, foi um desafio para qualquer um que passou
465320	466320	por isso.
466320	469040	Na verdade eu acho que o grande segredo é engenharia social.
469040	471160	Engenharia social, exatamente.
471160	476080	Hoje existem outras formas, de fato todas elas apodam para o mesmo caminho, em tal
476080	479960	uma rede de relacionamentos, tem gente que nasce com essa rede de relacionamentos e
479960	486920	de berço, tem família, ainda mais em cidades provincianas, a nossa sobrenome forte.
486920	487920	Exatamente.
487920	491800	Então você tem um círculo que tem que ser utilizado, não é uma crítica, você nasceu
491800	496120	com sorte, parabéns, mas para a grande maioria é você construir isso e construir isso com
496120	500160	credibilidade, construir isso com ética, quando você é uma pessoa correta você passa
500160	501800	sem conhecido por ser correto.
501800	507520	Isso é muito bom para qualquer tipo de negócio, seja ele tecnologia, seja qualquer outra.
507520	511000	Eu tenho um professor que ele falava que o cara do comercial é aquele cara que ele
511000	516040	chega numa festa e sai com três contratos, isso me leva a outra coisa que eu percebo
516040	521240	é que nem sempre a pessoa que tem um conhecimento técnico gigante, não é aquela pessoa que
521240	527560	tem um sucesso no seu produto, ou seja, saber vender é tão importante quanto o knowhow,
527560	528560	né?
528560	532600	O que a gente fala dentro da empresa é que saber é tão importante quanto parece que
532600	533600	sabe.
533600	536320	Isso é alguma deficiência na formação, indivíduo.
536320	541940	Essa habilidade de vender o produto, de se vender, superou nesse caso até o conhecimento
541940	543440	técnico que ele teve.
543440	548840	Na verdade o ideal sempre foi ter os dois, sempre foi, o que acontece é que a gente
548840	550520	não tem esse profissional no mercado.
558560	569800	Na parte tecnologia, por formação e por perfil, você tem um profissional que a grande
569800	575100	maioria sem querer generalizar, mas a gente tem um profissional que entra na faculdade
575100	579800	com o intuito de ser um técnico e que ele se aprofunda na parte técnica, mas ele não
579800	585800	se interessa por empreendedorismo, por matérias de cunha administrativa, você tem um outro
585800	588560	profissional que não passa pela faculdade.
588560	593280	O profissional de vendas hoje, ele normalmente não tem formação técnica e quando tem,
593280	598120	ele não tem uma formação técnica bem basada, porque não é um futuro que você aprende
598120	601800	que é possível na faculdade, não é um futuro previsto.
601800	606080	Você sempre entra em um curso técnico para ser técnico, você nunca entra para ser administrativo.
606080	611920	É uma grande falha, não só para o vendedor, você tem a noção de administrativo para
611920	614360	ser gerente, para ser diretor, de fato.
614360	620960	É um cargo que em Goiânia ou em Goiás, no centro oeste, como todo, existe uma falha
620960	625040	muito grande na estrutura da empresa, onde você não tem um diretor de TI, você tem
