start	end	text
0	6120	Mó mó mó, mó mó mó, mó mó n Cosooo
8660	10060	bike�
12240	16880	Mó mó mó, boso boso, boso, boso, boso, boso, boso
20720	23080	ESSIM Ensign nap Joinningen
24380	26360	OS R着 has a la vida
30080	32760	APRETEIRA
33000	34780	APRETEIRA
38280	40340	opportunities
53520	57540	CODE
58380	60440	ME DELAÇÃO
61020	64140	O Quanto você precisa de mim
66140	68820	Episode 15, entrevista com Mozart e Couto
68820	70520	Parte 2 de 2
75220	79020	Saudações e ouvidos, vamos dar início à segunda parte da entrevista com Mozart e Couto
79020	83640	Se você ainda não assistiu a a primeira parte, confira lá no site, na catinguaria e podcast
83640	87120	e nessa introdução eu estou com 2 convidados, esses especiais aqui
87120	91120	e eu que sou para a plancha, especiais como o Nibb
91120	93120	Eu sou o Nibb Caís
93120	96120	Você já precisa de que eu me estragulei, dá onde é esse?
99120	103120	Então tá isso, poderia fazer uma pequena apresentação de quem é a nossa entrevista?
103120	108120	Mozart e Couto é um inseridor e ilustrador que atua no mercado desde 1979
108120	112120	com publicações em editoras no Brasil e exterior
112120	116120	sendo também um dos grandes colaboradores de conteúdo sobre arte digital
116120	123120	utilizando software livre em especial o Nibb, além de projetos como tradução no GPS, Nibb, Punch, Studio
123120	125120	para o português do Brasil
125120	127120	Acho que você não estuma
131120	134120	Então no primeiro episódio a gente falou bastante do seu carreiro e tal
134120	136120	como pessoa, informática
136120	139120	e na segunda parte a gente já começa falando do mercado de trabalho no Nibb
139120	141120	Vamos lá então para a entrevista?
141120	143120	Ah, pode soltar não?
143120	145120	Estou meio desanimado
145120	147120	Vamos ver lá
155120	158120	Ele foi perguntar se você já teve alguma dificuldade
158120	162120	essa questão de relação com as gráficas, com as editoras
162120	166120	sobre o trabalho em RGB, CMIC, coloração
166120	169120	Não, ainda não aconteceu não
169120	172120	Agora eu te falei, já tem esse esquema de
172120	177120	ninguém nunca me exigiu o CMY, um poucas vezes
177120	181120	e não deu problema de impressão para eu enviar em RGB
181120	184120	e a pessoa, na hora que vai montar, converte
184120	189120	aí nos programas propietários que eles usam, faz a conversão e não dá problema nenhum, não
189120	190120	fica muito bom
190120	192120	O cara do birou sempre se vira
192120	196120	Lá tem aquele equipe que vai fazer a preparação da imagem, no meu caso
196120	198120	mas assim, eu nunca peguei
198120	202120	aquele caso que o cara vai, eu preciso de imprimir aqui em Offset
202120	205120	um arquivo PDF fechado, uma coisa assim, entendeu?
205120	209120	que aí eu vou ter que fazer a separação lá, isso eu nunca peguei
209120	212120	até estou pesquisando para ver quem já fez
212120	217120	tem umas notícias aí, de que dá para usar aquele CMY-K2
217120	220120	vocês viram no meu blog Luciano Lorenzo
220120	223120	que é o criador do símbolo do Curumin
223120	227120	ele comentou isso, pois é, aí comentou isso
227120	231120	então eu sei que a gente vai, a gente vai procurando saber
231120	234120	e vamos para em prática depois para ver
241120	243120	Eu tenho uma história interessante
243120	250120	em meados de 1905, eu vi um tutorial sobre coloração utilizando o GIMP
250120	253120	e eu lembro bem que era o Quarteto Fantástico, lembro desse tutorial?
253120	257120	e a minha agradável surpresa é que o autor do artigo
257120	262120	era alguém que eu já seguia muito tempo as dicas e tutoriais com revistinhas
262120	264120	e era um moso acordo
264120	267120	ali eu ainda estava aprendendo também as coisas
267120	270120	eu também sempre procurei não complicar muito
270120	273120	porque tem aquelas técnicas de vários leias
273120	275120	que eu acho bom, determinado ponto
275120	278120	mas para mim às vezes não dá muito certo
278120	281120	que como eu te falei, eu trabalho muito rápido
281120	286120	mais sobre o impacto emocional do que pensando as coisas tecnicamente
286120	290120	então eu coloro leia que não é para a coloria, no lugar do outro
290120	293120	aquilo acaba me confundindo, é muito chato, eu evito isso
293120	297120	mas ali eu já fazia uma técnica que eu tentei mostrar
297120	300120	as possibilidades de fazer seleção, que é uma coisa chata
300120	303120	coisa mais enjoada que tem, seleção
303120	306120	migrou aquele ditado para não usar borracha e só lápis
306120	308120	para o computador também
309120	311120	ainda bem que eu já mudei de emprego
311120	315120	mas eu lembro que eu passei a parte da manhã inteira colorindo
315120	319120	o negócio brincando com o companhia de ver a possibilidade
319120	322120	eu lembro que tinha até uma guerreira que estava lá só os traços
322120	324120	e eu fui pintar elas
324120	326120	eu cabulei metade do meu trabalho
326120	328120	e eu fazia esse negócio
329120	331120	ainda mais usando mouse
331120	333120	é, usando mouse
333120	335120	de bolinha
335120	337120	mas lá os computadores eram até bom
337120	339120	nessa época eu programava em cima do AutoCard
339120	342120	então as máquinas tinham que ser um pouco melhores
342120	344120	e os mouse também eram um pouco melhores
344120	346120	foi bem interessante o historial que eu vi lá
346120	348120	para mim foi um marca interessante
348120	350120	nessa parte de coloração digital
350120	352120	é, legal
352120	355120	eu vou tentando fazer os vídeos também
355120	358120	eu tento fazer de uma forma para que a pessoa vá olhando
358120	361120	ter pause e vai aprender
361120	364120	agora mesmo estou preparando de arte final
364120	366120	eu vou começar a fazer mais de desenho
366120	369120	porque eu não sou pintor, colorista
369120	371120	eu faço expo necessidade
371120	373120	eu sou mesmo desenhista
373120	375120	então eu estou fazendo uma série agora
375120	377120	mostrando o desenho feito no lápis
377120	379120	vídeo tutorial, né?
379120	381120	vou fazer três tipos de arte final
381120	382120	já fiz duas
382120	385120	para mostrar como é que tudo usando aquela ferramenta
385120	387120	tinta do gamepad
387120	389120	para mostrar como ela é útil
389120	391120	como o traço fica bonito para arte final
391120	393120	estudo digitalmente
393120	396120	ou técnico de desenho digital
396120	399120	agora eu tenho feito muita coisa já direto, né?
399120	401120	já desde o início do trabalho
401120	403120	já faço o lápis
403120	405120	em uma camada
405120	407120	depois jogo a outra camada branca em cima
407120	409120	diminuo a opacidade dela
409120	411120	para enxergar o lápis embaixo bem fraco
411120	413120	lápis digital, né?
413120	416120	e aí eu venho com a outra camada e faço arte final
416120	419120	depois eu apago aquele fundo
419120	421120	e mesco a parte de baixo
421120	423120	com a camada branca
