start	end	text
0	8000	E aí, deixa eu falar uma coisa. Quem fazia natação aí?
8000	10000	Era eu aqui, seu machão.
10000	14000	Então, aí eu tinha pensado na piadinha pra te falar, mas a gente não era íntimo ainda?
14000	16000	Não, pode falar que a gente é...
16000	21000	Não, que é assim, que o pessoal fala, via sua cara e falava que você não fazia natação.
21000	23000	Você devia ser um torneiro, né?
23000	25000	É, torneiro mecânico, alguma coisa assim.
25000	30000	Ó, não tem graça, tá? Mas eu pensei assim, quem vê cara, não vê natação.
41000	45000	Episódio 16, entrevista com Cicero Moraes.
45000	50000	Cicero Moraes é um artista 3D e militante do software livre.
50000	59000	Sendo assim, a gente dá sequência a uma série de entrevistas com artistas visuais que trabalham com software livre no seu dia a dia.
59000	65000	Uma grande reunião do destino, já que a gente tem flertado com o pessoal do podcast Papo Acessível,
65000	71000	que é um programa apresentado, produzido, publicado por deficientes visuais.
71000	74000	Pessoas totalmente cegas ou com baixa visão.
74000	78000	Não importa porque a entrevista não é sobre artes visuais, e sim sobre o profissional,
78000	82000	como se fosse o coração da voz, lá do Radifobia,
82000	87000	com a diferença que a gente fala com pessoas que trabalham com software livre no seu dia a dia.
87000	91000	Vamos lá para a entrevista que teve também o alemão que me ajudou,
91000	95000	e no finalzinho eu volto com os recadinhos e agradecimentos.
95000	99000	Só lembrando que essa entrevista foi gravada há pelo menos dois anos,
99000	102000	então a gente está publicando no finalzinho de 2013.
102000	105000	Vamos lá então para a entrevista. Um abraço.
108000	114000	Você falou que era autodidato, assim, como você começou a estudar sozinho,
114000	117000	como você iniciou sua área de 3D, né?
117000	122000	Como você conhecia o software livre, se você já começou a trabalhar com software livre?
122000	125000	Primeiro que eu comecei a trabalhar na área grave, eu sempre desenhei,
125000	131000	e eu havia dito pra vocês que minha mãe deu uma super força mentindo e falando que os desenhos eram bonitos.
131000	135000	Toda mãe fala isso, é igual a mãe nunca fala que você é feita.
135000	140000	Ela não se contentou em mentir dizendo que era bonito e falou que eu desenhava bem também.
140000	143000	Só que eu não consegui cara de moça.
143000	147000	Aí eu comecei a trabalhar com tablana, eu fazia muito desenho,
147000	151000	e a mãe também, além de ela mentir essas coisas, ela foi encher o saco do pessoal
151000	153000	que tem uma empresa de desenho arquitetônico aqui na cidade,
153000	158000	que a cidade não tinha escola de desenho e o que havia de mais próximo ao que eu fazia
158000	162000	era justamente desenhos arquitetônicos de pré-visualização de obus.
162000	166000	E eu comecei a trabalhar na área como eu aprendi muito cedo, lá pelos 11, 12 anos.
166000	168000	Começou essa...
168000	171000	Quando foi isso? Quem... a gente não sabe sua idade.
171000	174000	95 por aí, 94.
174000	175000	Ah, tá.
175000	180000	Era realmente muito novo e não tinha essa coisa da pessoa de menor trabalhar, era fora da lei, né?
180000	184000	Até a lei aqui na cidade não havia chegado, não tinha fim de capé.
184000	189000	Mas era arte conceitual ou era tipo a planta baixa?
189000	194000	Então, porque inicialmente era para fazer só parte do desenho mesmo da pré-visualização.
194000	198000	Só que aí o pessoal começou a jogar as plantas baixas para desenhar, comecei a desenhar também.
198000	202000	E veio a informática lá por 96, 97, que se tornou uma coisa mais popular.
202000	206000	Eu fiz um curso e o sonho de todo mundo que começa isso da informática
206000	210000	e trabalha com uma área é tentar levar aquela área que ele trabalha manualmente
210000	212000	e todas as facilidades da informática.
212000	215000	Porque no tempo que eu desenhava, tinha que desenhar com caneta banquinha
215000	219000	e havia muito problema de você errar o desenho e ter que apagar ele.
219000	222000	E para apagar a gente fazia o desenho num papel chamado papel digital.
222000	224000	Para apagar, tinha que passar gilete, lânei de ar.
224000	227000	E muitas vezes comprometia a qualidade do desenho.
227000	229000	Então meu sonho era passar logo com o computador,
229000	232000	porque o computador tinha uma coisa que o desenho manual não tinha.
232000	236000	Você poder voltar, poder apagar, poder desenhar em cima do que você já tinha desenhado.
236000	240000	Eu comecei a ir atrás disso e o internet ainda não estava popular.
240000	244000	Ou você comprava ali, que não era meu caso, que não tinha dinheiro, era do.
244000	246000	Ou você comprava um CD, que era muito mais acessível
246000	250000	e tinha um conteúdo maior de informação em relação aos livros.
250000	253000	Tinha as vídeo-aulas, tinha uma coisa meio escrita assim,
253000	254000	não complementava o outro.
254000	255000	E eu aprendi por lá.
255000	258000	Depois que veio a internet, eu comecei a estudar pela internet
258000	262000	e comecei a assistir tectoriais e assim foi.
267000	270000	O fato de trabalhar com o 3D veio depois,
270000	272000	complementando a segunda parte,
272000	274000	a parte de trabalhar com o 3D,
274000	279000	veio depois que foi quando o 3D Studio Max 2 foi lançado,
279000	280000	dois ou três.
280000	284000	Comecei a também a aprender ele por CD,
284000	286000	depois por fóruns da internet,
286000	289000	só que eu não gostava de trabalhar com ele que tinha que pagar
289000	290000	e não o fato de ter que pagar.
290000	293000	Se eu tivesse dinheiro, ficaria sem problemas nenhum.
293000	297000	Mas era um problema pirata, não tinha condições de comprar
297000	299000	e eu fiquei sabendo do Linux.
299000	301000	Não entendia direito o que era,
301000	303000	o pessoal sempre pergunta se sabia o que era o pensor,
303000	304000	se eu não sabia.
304000	307000	Naquela época para mim, lá por 2003,
307000	309000	eu imaginava que o que mais me chamava o pensor
309000	312000	era o fato de ser barato, de ser barato não, de ser gratuito.
312000	314000	Mas eu comecei a trabalhar, comecei a gostar
314000	316000	e como também eu sempre falo com o pessoal,
316000	318000	quando você entra numa comunidade
318000	320000	que envolve um programa o pensor,
320000	322000	você está me sentindo meio que na família,
322000	324000	uma família, uma pessoa ajuda o outro,
324000	326000	a pessoa que faz parte do programa
326000	329000	é o cara que conversa contigo lá no fórum,
329000	331000	você pode de repente dar uma ideia para ele,
331000	332000	ele vai odiar,
332000	335000	você tem essa possibilidade de trocar informação.
335000	337000	Um artista que é um super artista
337000	340000	que você dificilmente teria contato num programa fechado,
340000	342000	não que isso seja um tomor,
342000	344000	um problema dos programas fechados,
344000	346000	mas é muito difícil você ter acesso.
346000	348000	E já no mundo do pensor,
348000	351000	é impressionante a proximidade que você tem com as pessoas
351000	354000	que fazem parte de toda a cadeia de desenvolvimento do programa,
354000	355000	isso é muito legal.
355000	359000	Mas assim, você começou a mexer com um 3D,
359000	361000	a tentar aprender isso por hobby
361000	363000	ou porque lá nonde você começou a trabalhar,
363000	365000	eles começaram a exigir isso de você?
365000	367000	Então, na verdade, foi a mesma situação
367000	369000	que me levou a trabalhar com o computador no começo.
369000	370000	Com o que acontecia?
370000	372000	Eu errava um desenho manual, tinha que apagar,
372000	375000	às vezes comprometi o desenho todo, tinha que desenhar tudo de novo.
375000	377000	No computador, você podia apagar, podia voltar,
377000	380000	podia imprimir em uma escala maior, em uma escala menor,
380000	381000	era muita flexibilidade.
381000	383000	Depois que você trabalha com planta baixa,
383000	384000	falando em 2D,
384000	387000	o pessoal começa meio que de cobrar o mercado cobra mesmo,
387000	389000	que você oferece algo a mais,
389000	391000	algo que seja mais compatível com a realidade,
391000	393000	ou seja, você faz um 3D,
393000	395000	com uma renderização fotorealística que eles chamam.
395000	397000	Eu comecei a estudar também, aos poucos,
397000	399000	aquela vela história que você tem que conviver com o programa.
399000	402000	Comecei a conviver, comecei meio que por hobby mesmo,
402000	405000	não havia uma necessidade muito evidente,
405000	408000	mas eu já senti que o mercado ia arrumar para esse lado.
408000	409000	Eu comecei a estudar,
409000	411000	começou a aparecer várias oportunidades de trabalho,
411000	413000	não só dar um lucro bacana,
413000	415000	comecei a trabalhar também como autônomo,
415000	418000	quando eu já tinha os 17 anos, 16,
418000	421000	desde esse tempo eu trabalho como autônomo,
421000	422000	com 3D.
433000	434000	Sobre o software livre,
434000	436000	você falou que se interessou,
436000	438000	justamente porque era de graça,
438000	441000	e hoje em dia você colabora,
441000	443000	assim, pelo software livre,
443000	445000	colabora pelo software que você usa,
445000	447000	de alguma forma colabora,
447000	449000	além dos cursos que você dá.
449000	450000	Sim, com certeza,
450000	452000	infelizmente não entendo de programação,
452000	454000	também as pessoas imaginam que você só pode colaborar
454000	456000	com o software programando.
456000	458000	Seria interessante que todos programassem,
458000	459000	mas é muito difícil.
459000	460000	Então, o que eu posso fazer,
460000	462000	é falar bem do programa,
462000	463000	que são realmente programas bons,
