start	end	text
0	7760	Lá em casa tinha uma pilha de quadrinhos da Disney, então eu ficava alendo antes de aprender a ler, folhando, na verdade.
7760	9680	E aí, quando eu prendi a ler, cara...
9680	13920	Tem que ser palavras exclusivas, vocês já ouviram o outro podcast já.
14800	17120	RedeCAD, depoimentos exclusivos?
17120	18880	Mas eu falei pela verdade.
18880	20880	Agora você pode romanciar essa parte, então.
30320	33760	Episódio 17, entrevista com o Carlisson Bizé.
34800	38320	Olá a todos, eu sou o Carlisson do Hecton.com.
38320	40720	Aqui é a Sebastião Reus, o meu quadrinho de U.S.T.
40720	41600	Tinha só um leitor.
41600	44960	Hoje eu estou sem inspiraça, eu acho que não vai ter introdução.
44960	47920	Aqui é a Lemônia, eu estou esperando o Fidivéc do Fábio.
60720	67120	Assim, a gente queria focar essa entrevista mais relacionada ao software livre.
67120	70640	Pode começar falando como foi introduzido pelo software livre?
70640	77920	Basicamente, quando eu entrei na faculdade e o laboratório lá o pessoal usava Linux, na época era conectiva.
77920	82880	Então, a gente era praticamente passado a usar os Linux lá.
82880	90480	Daí eu fui começando a experimentar em casa com outras distribuições como o Slackware e o Mandriva.
90480	92080	Na época na verdade era o Mandrake.
92080	96160	E aí, quando saiu o Ubuntu, foi que eu mergulhei de vez lá no Linux.
96160	100960	Então, teve alguns eventos de software livre aqui em Natal, um encontro Portugal de software livre.
100960	108560	E aí, o pessoal de fora falando sobre a coisa, eu ainda não tinha nenhuma noção do conceito, da comunidade e nada.
108560	113920	Teve o Aurelio Rekard, o cara da Bahia que falou sobre o Inkscape, eu fiquei fascinado pelo programa.
113920	119360	A possibilidade de fazer dezenas, fazer coisas que eu já fazia no Windows com CorelDraw e Flash.
119360	122880	Poder fazer essas mesmas coisas de uma certa forma no Linux.
122880	127760	Então, comecei a usar esses programas e pronto, foi que eu mergulhei de vez no software livre.
127760	132880	E depois desse evento, eu comecei a participar dos outros, dando palestras e na organização também.
132880	138480	E foi quando eu fui me envolvendo ainda mais, conhecendo essas pessoas, os caras ganhando software livre.
138480	141840	Algum tempo, mais tarde, eu comecei a desenvolver software livre também.
141840	148720	Comecei a ajudar no Inkscape com extensões e criando meus próprios softwares também, resumidamente isso.
148720	150400	E isso foi mais ou menos em que ano, hein?
150400	153440	2005, 2006, por aí.
153440	161840	Essas extensões eram oficiais para ajudar o projeto diretamente, o projeto oficial você desenvolvia pra você mesmo?
161840	166640	Não, para o projeto. Já tenho uma extensão minha lá no repositório oficial do Inkscape.
166640	174160	É bem simples, mas os caras gostaram, os caras resolveram incluindo o projeto porque era um recurso que o Inkscape não tinha.
174160	174880	Qual que é?
174880	179440	Saiba o elemento de texto e quebra em outros elementos de texto, ela separa.
179440	184400	Você pode escolher quebrar esse elemento por linhas ou por palavras ou por caracteres.
184400	188800	Coisa bem simples, mas o Inkscape não tinha ainda, eu fiz com Python.
188800	192800	É bastante interessante. E você ainda continua ativo no projeto?
