start	end	text
0	4380	Você está ouvindo a tribo do C.I. Podcast
4380	9780	Episódio 18, bate papo, Softelive, um por amor, dois por dinheiro.
9780	15780	Essa foi uma live transmitida pelo canal do alemão, dia de 29 de julho de 2023,
15780	22780	lá falando sobre Softelive, mercado de trabalho com quem faz e utiliza Softelive no seu dia a dia.
22780	24780	Um abraço e vamos para o episódio.
24780	29780	Então é isso aí galera, mais uma live, mais uma né, a primeira.
29780	38280	A gente vai falar sobre Softelive, um por amor, dois por dinheiro.
38280	46780	Esse é o tema, a gente vai focar mais no profissional que utiliza, faz e a gente vai explicar o que é Softelive
46780	53280	para quem não sabe o que é Softelive e a gente vai focar nesse assunto de como o Softelive impacta
53280	61280	no profissional comum, no dia a dia, no relis mortal, no chão de fábrica, digamos assim.
61280	66280	Só lembrando que a gente vai deixar esse episódio aqui gravado também,
66280	71280	eu vou deixar o link na descrição aí, é editar no podcast tribo do C.I. ponto net.
71280	74280	E muito obrigado aos convidados que aceitaram participar.
74280	79280	Eu gostaria que vocês se apresentassem cada um, o que cada um faz e já contar uma historinha
79280	84280	de como o Softelive impactou vocês, como vocês começaram.
84280	91280	Depois a gente, se quiser, cada um explicar o que é o Softelive e cada um complementa um pouco também.
91280	94280	Eu vou ficar por último, eu já falei demais.
94280	99280	Pode começar pelo Cadunico, que ele está aqui do meu lado aqui na tela.
99280	106280	Gente, antes de mais nada, boa tarde, sabadão, aqui no Rio está nublado, não sei na área de vocês.
106280	111280	Bom, eu sou designer, trabalho há um bom tempo com o Softelive,
111280	115280	vai para lá de 10 anos, já passou de 10 anos isso.
115280	120280	Só uso o Softelive em todas as minhas produções.
120280	125280	E sou o criador do evento chamado Guino Gráfico, eu vejo computação gráfico Softelive.
125280	130280	Acontece todo ano, aqui no Rio de Janeiro, onde tem palestras e oficinas,
130280	134280	dois dias totalmente de graça para o público.
134280	144280	Além das quatro liberdades, eu entendo que o Softelive é uma forma de deixar horizontal
144280	149280	a utilização de qualquer tipo de software, seja do que setor que você atui.
149280	153280	Por que? Porque a maioria dos Softelives são gratuitos.
153280	161280	A gratuidade não é um pré-requisito do Softelive, a liberdade está no código e não no preço.
161280	167280	Mas a maioria são gratuitos, é muito difícil você ter um Softelive pago,
167280	171280	mas mesmo pagando tem vantagem, senão você vai ter que a pouco ver a palestra.
171280	177280	Isso já é um passo muito grande, porque você precisa de um softelive específico,
177280	183280	existe softelive, você baixa, você testa, você instala, você passa a usar
183280	188280	e aí você passa a ter essa ferramenta à sua disposição.
188280	192280	É muito além das quatro liberdades, eu acredito que o Softelive
192280	198280	ele é um facilitador para uma necessidade que você tem.
198280	204280	Só antes de você continuar, eu quero explicar bem, basicamente,
204280	210280	aquele famoso receita do bolo, o que é softelive para os leigos,
210280	214280	senão você vai ficar falando e fazer o que esse cara está falando.
214280	219280	O que é softelive? Softelive é quem quiser me corrigir ou complementar.
219280	227280	É como se fosse um bolo, você tem a receita, você pode pegar essa receita, fazer o bolo
227280	230280	e mesmo você saber na receita você pode comprar o bolo de alguém
230280	236280	ou você pode pegar esse bolo que você criou e pode complementar e vender esse bolo também.
236280	241280	Então a receita é de todo mundo, quando você tem o seu bolo, o bolo é seu,
241280	247280	mas a receita é de todo mundo. Então a ideia do softelive é tipo isso, sabe?
247280	254280	Você faz um produto em código, você é entre aspas dono, mas não é dono
254280	260280	e cada um pode vender, distribuir, modificar, ganhar dinheiro
260280	262280	que é isso que a gente vai discutir hoje.
262280	268280	Eu gostaria, Kadunik, que você me falasse como você começou nesse mundo
268280	272280	e como te impacta até hoje e o que você acha?
272280	277280	De como impacta isso no sócio econômico, ao todo, ao geral também?
277280	284280	Certo, eu sempre fui designer, desde que eu fiz escora técnica de comunicação
284280	288280	desde o segundo grau eu procurei esse caminho.
288280	292280	Em um dado momento eu estava trabalhando na prefeitura de Niteroia
292280	295280	que eu era web designer da subsecretaria sem essa tecnologia
295280	299280	e o Guinolinox estava começando a entrar no mercado.
299280	303280	Aí tinha aquela história dos revistas com sedês e eu vi um Guinolinox
303280	308280	na máquina de um colega meu da prefeitura, que era um sistema operacional
308280	312280	longe do Windows, que foge um pouco no Windows e ele é diferente,
312280	314280	ele é um pouco... parece ser legal.
314280	316280	E isso despertou o primeiro momento.
316280	320280	Anos depois eu acabei fazendo um curso do Senac de Guinolinox
320280	324280	e ali eu vi que tinham muitas ferramentas gráficas
324280	328280	e o primeiro deles foi o Inkscape, que é o meu software livre e favorito.
328280	331280	Não é o Blender, as pessoas pensam que é o Blender, mas não é.
331280	337280	E ali eu vi e falei, eu posso trabalhar com o software livre na minha área,
337280	342280	editar imagens, fazer layouts com desenho vetorial, trabalhar com 3D,
342280	344280	coisa, pois, por que não?
344280	347280	O que eu fiz com a maioria das pessoas fazendo o início?
348280	352280	Então eu tinha minhas ferramentas que eu estava habituado numa partição do HD
352280	357280	e tinha as ferramentas que eu estava aprendendo na outra partição com Guinolinox.
357280	363280	Você quis mexer por curiosidade ou porque você viu uma oportunidade de negócio ali?
363280	368280	Eu vi uma forma de manter meu parque de software sempre atualizado
368280	371280	e dar uma maior vida útil para o meu hardware.
371280	373280	Eu trocava de hardware todo ano.
